N,w_ratio,r_min,reliability,resolution,uncertainty,brier_from_decomp,brier_direct,n_obs
1,0.0,0.5,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.0,0.7,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.0,0.9,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.25,0.5,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.25,0.7,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.25,0.9,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.5,0.5,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.5,0.7,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,0.5,0.9,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,1.0,0.5,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,1.0,0.7,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,1.0,0.9,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,2.0,0.5,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,2.0,0.7,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,2.0,0.9,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,4.0,0.5,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,4.0,0.7,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
1,4.0,0.9,0.518718761259711,0.0,0.2005675906545915,0.7192863519143025,0.7184154929577465,497
2,0.0,0.5,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.0,0.7,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.0,0.9,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.25,0.5,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.25,0.7,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.25,0.9,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.5,0.5,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.5,0.7,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,0.5,0.9,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,1.0,0.5,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,1.0,0.7,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,1.0,0.9,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,2.0,0.5,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,2.0,0.7,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,2.0,0.9,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,4.0,0.5,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,4.0,0.7,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
2,4.0,0.9,0.479535433592636,0.0,0.21182244248015067,0.6913578760727866,0.690125250501002,499
4,0.0,0.5,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.0,0.7,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.0,0.9,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.25,0.5,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.25,0.7,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.25,0.9,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.5,0.5,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.5,0.7,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,0.5,0.9,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,1.0,0.5,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,1.0,0.7,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,1.0,0.9,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,2.0,0.5,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,2.0,0.7,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,2.0,0.9,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,4.0,0.5,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,4.0,0.7,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
4,4.0,0.9,0.45751695999999986,0.0,0.2176,0.6751169599999999,0.6731800000000001,500
8,0.0,0.5,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.0,0.7,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.0,0.9,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.25,0.5,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.25,0.7,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.25,0.9,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.5,0.5,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.5,0.7,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,0.5,0.9,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,1.0,0.5,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,1.0,0.7,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,1.0,0.9,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,2.0,0.5,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,2.0,0.7,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,2.0,0.9,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,4.0,0.5,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,4.0,0.7,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
8,4.0,0.9,0.43349055999999986,0.0,0.22375599999999998,0.6572465599999998,0.65498,500
16,0.0,0.5,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.0,0.7,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.0,0.9,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.25,0.5,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.25,0.7,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.25,0.9,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.5,0.5,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.5,0.7,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,0.5,0.9,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,1.0,0.5,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,1.0,0.7,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,1.0,0.9,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,2.0,0.5,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,2.0,0.7,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,2.0,0.9,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,4.0,0.5,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,4.0,0.7,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
16,4.0,0.9,0.4281084900000001,0.0,0.22503599999999999,0.6531444900000001,0.6507850000000001,500
32,0.0,0.5,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.0,0.7,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.0,0.9,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.25,0.5,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.25,0.7,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.25,0.9,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.5,0.5,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.5,0.7,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,0.5,0.9,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,1.0,0.5,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,1.0,0.7,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
32,1.0,0.9,0.4196448399999999,0.0,0.226896,0.6465408399999999,0.64381,500
