N,w_ratio,r_min,seed,mean_inflation,mean_inflation_binding,mean_inflation_nonbinding,n_binding,n_nonbinding
1,0.0,0.5,0,0.6141844000000001,0.8468658333333333,0.01586071428571428,72,28
1,0.0,0.5,42,0.6208272800000001,0.8499269444444445,0.031713857142857134,72,28
1,0.0,0.5,123,0.62150288,0.8508652777777778,0.031713857142857134,72,28
1,0.0,0.5,456,0.6250584600000001,0.8543138888888889,0.03554449999999999,72,28
1,0.0,0.5,789,0.6157516500000001,0.8463623472222223,0.022752714285714275,72,28
1,0.0,0.7,0,0.6141844000000001,0.8399120410958905,0.003883740740740732,73,27
1,0.0,0.7,42,0.6208272800000001,0.8429312191780822,0.020324037037037026,73,27
1,0.0,0.7,123,0.62150288,0.843856698630137,0.020324037037037026,73,27
1,0.0,0.7,456,0.6250584600000001,0.8472580684931508,0.024296555555555547,73,27
1,0.0,0.7,789,0.6157516500000001,0.8388953561643837,0.012437185185185173,73,27
1,0.0,0.9,0,0.6141844000000001,0.814689302631579,-0.02074779166666667,76,24
1,0.0,0.9,42,0.6208272800000001,0.8175872894736843,-0.002246083333333343,76,24
1,0.0,0.9,123,0.62150288,0.8184762368421052,-0.002246083333333343,76,24
1,0.0,0.9,456,0.6250584600000001,0.8217433421052632,0.0022229999999999936,76,24
1,0.0,0.9,789,0.6157516500000001,0.8113033157894737,-0.0034952916666666826,76,24
1,0.25,0.5,0,0.6141844000000001,0.8468658333333333,0.01586071428571428,72,28
1,0.25,0.5,42,0.6208272800000001,0.8499269444444445,0.031713857142857134,72,28
1,0.25,0.5,123,0.62150288,0.8508652777777778,0.031713857142857134,72,28
1,0.25,0.5,456,0.6250584600000001,0.8543138888888889,0.03554449999999999,72,28
1,0.25,0.5,789,0.6157516500000001,0.8463623472222223,0.022752714285714275,72,28
1,0.25,0.7,0,0.6141844000000001,0.8399120410958905,0.003883740740740732,73,27
1,0.25,0.7,42,0.6208272800000001,0.8429312191780822,0.020324037037037026,73,27
1,0.25,0.7,123,0.62150288,0.843856698630137,0.020324037037037026,73,27
1,0.25,0.7,456,0.6250584600000001,0.8472580684931508,0.024296555555555547,73,27
1,0.25,0.7,789,0.6157516500000001,0.8388953561643837,0.012437185185185173,73,27
1,0.25,0.9,0,0.6141844000000001,0.814689302631579,-0.02074779166666667,76,24
1,0.25,0.9,42,0.6208272800000001,0.8175872894736843,-0.002246083333333343,76,24
1,0.25,0.9,123,0.62150288,0.8184762368421052,-0.002246083333333343,76,24
1,0.25,0.9,456,0.6250584600000001,0.8217433421052632,0.0022229999999999936,76,24
1,0.25,0.9,789,0.6157516500000001,0.8113033157894737,-0.0034952916666666826,76,24
1,0.5,0.5,0,0.6141844000000001,0.8468658333333333,0.01586071428571428,72,28
1,0.5,0.5,42,0.6208272800000001,0.8499269444444445,0.031713857142857134,72,28
1,0.5,0.5,123,0.62150288,0.8508652777777778,0.031713857142857134,72,28
1,0.5,0.5,456,0.6250584600000001,0.8543138888888889,0.03554449999999999,72,28
1,0.5,0.5,789,0.6157516500000001,0.8463623472222223,0.022752714285714275,72,28
1,0.5,0.7,0,0.6141844000000001,0.8399120410958905,0.003883740740740732,73,27
1,0.5,0.7,42,0.6208272800000001,0.8429312191780822,0.020324037037037026,73,27
1,0.5,0.7,123,0.62150288,0.843856698630137,0.020324037037037026,73,27
1,0.5,0.7,456,0.6250584600000001,0.8472580684931508,0.024296555555555547,73,27
1,0.5,0.7,789,0.6157516500000001,0.8388953561643837,0.012437185185185173,73,27
1,0.5,0.9,0,0.6141844000000001,0.814689302631579,-0.02074779166666667,76,24
1,0.5,0.9,42,0.6208272800000001,0.8175872894736843,-0.002246083333333343,76,24
1,0.5,0.9,123,0.62150288,0.8184762368421052,-0.002246083333333343,76,24
