N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
1,2.0,0.9,123,0.56197929753744,0.27,0.64,0.9040028800000001,100
1,2.0,0.9,456,0.55214206989688,0.29,0.64,0.9075584600000001,100
1,2.0,0.9,789,0.54906092572047,0.28,0.61,0.89825165,100
1,4.0,0.5,0,0.5421555874972,0.29,0.99,0.8966844,100
1,4.0,0.5,42,0.55014950494618,0.28,1.0,0.9033272800000001,100
1,4.0,0.5,123,0.56197929753744,0.27,0.99,0.9040028800000001,100
1,4.0,0.5,456,0.55214206989688,0.29,1.0,0.9075584600000001,100
1,4.0,0.5,789,0.54906092572047,0.28,1.0,0.89825165,100
1,4.0,0.7,0,0.5421555874972,0.29,0.9,0.8966844,100
1,4.0,0.7,42,0.55014950494618,0.28,0.94,0.9033272800000001,100
1,4.0,0.7,123,0.56197929753744,0.27,0.92,0.9040028800000001,100
1,4.0,0.7,456,0.55214206989688,0.29,0.93,0.9075584600000001,100
1,4.0,0.7,789,0.54906092572047,0.28,0.93,0.89825165,100
1,4.0,0.9,0,0.5421555874972,0.29,0.59,0.8966844,100
1,4.0,0.9,42,0.55014950494618,0.28,0.58,0.9033272800000001,100
1,4.0,0.9,123,0.56197929753744,0.27,0.64,0.9040028800000001,100
1,4.0,0.9,456,0.55214206989688,0.29,0.64,0.9075584600000001,100
1,4.0,0.9,789,0.54906092572047,0.28,0.61,0.89825165,100
2,0.0,0.5,0,0.47614065798208005,0.32,0.98,0.87848934,100
2,0.0,0.5,42,0.51180327606169,0.29,0.99,0.88437241,100
2,0.0,0.5,123,0.47639860934003,0.31,1.0,0.87154233,100
2,0.0,0.5,456,0.48304911147382,0.31,0.99,0.87275694,100
2,0.0,0.5,789,0.52003116972549,0.29,1.0,0.88629543,100
2,0.0,0.7,0,0.47614065798208005,0.32,0.87,0.87848934,100
2,0.0,0.7,42,0.51180327606169,0.29,0.91,0.88437241,100
2,0.0,0.7,123,0.47639860934003,0.31,0.84,0.87154233,100
2,0.0,0.7,456,0.48304911147382,0.31,0.84,0.87275694,100
2,0.0,0.7,789,0.52003116972549,0.29,0.9,0.88629543,100
2,0.0,0.9,0,0.47614065798208005,0.32,0.57,0.87848934,100
2,0.0,0.9,42,0.51180327606169,0.29,0.52,0.88437241,100
2,0.0,0.9,123,0.47639860934003,0.31,0.51,0.87154233,100
2,0.0,0.9,456,0.48304911147382,0.31,0.55,0.87275694,100
2,0.0,0.9,789,0.52003116972549,0.29,0.55,0.88629543,100
2,0.25,0.5,0,0.47805716343316,0.32,0.99,0.8801642,100
2,0.25,0.5,42,0.51369935327173,0.29,1.0,0.88602715,100
2,0.25,0.5,123,0.47639860934003,0.31,1.0,0.87154233,100
2,0.25,0.5,456,0.4849015073537,0.31,1.0,0.87446872,100
2,0.25,0.5,789,0.52003116972549,0.29,1.0,0.88629543,100
2,0.25,0.7,0,0.48265198732707,0.32,0.92,0.8829948299999999,100
2,0.25,0.7,42,0.51460391511322,0.29,0.93,0.8862439000000001,100
2,0.25,0.7,123,0.48335282853142,0.31,0.88,0.8764095000000001,100
2,0.25,0.7,456,0.49040657500568996,0.31,0.9,0.87824445,100
2,0.25,0.7,789,0.52582310466461,0.29,0.95,0.89040365,100
2,0.25,0.9,0,0.48199287307276995,0.32,0.61,0.88169681,100
2,0.25,0.9,42,0.52562712046844,0.29,0.61,0.8920159200000001,100
2,0.25,0.9,123,0.48292664322313,0.31,0.56,0.87512045,100
2,0.25,0.9,456,0.49166096210142,0.31,0.6,0.8776288,100
2,0.25,0.9,789,0.53327347468262,0.29,0.64,0.8935966399999999,100
2,0.5,0.5,0,0.47805716343316,0.32,0.99,0.8801642,100
2,0.5,0.5,42,0.51369935327173,0.29,1.0,0.88602715,100
2,0.5,0.5,123,0.47639860934003,0.31,1.0,0.87154233,100
2,0.5,0.5,456,0.4849015073537,0.31,1.0,0.87446872,100
2,0.5,0.5,789,0.52003116972549,0.29,1.0,0.88629543,100
2,0.5,0.7,0,0.4936127695877,0.32,0.95,0.89053272,100
2,0.5,0.7,42,0.52727260080463,0.29,0.97,0.89446167,100
2,0.5,0.7,123,0.50753993611052,0.31,0.95,0.89262944,100
2,0.5,0.7,456,0.50944336776645,0.31,0.95,0.89081591,100
2,0.5,0.7,789,0.5315138959221,0.29,0.97,0.8945184999999999,100
2,0.5,0.9,0,0.49589810815054003,0.32,0.65,0.8899164,100
2,0.5,0.9,42,0.5447628549881199,0.29,0.67,0.90334834,100
2,0.5,0.9,123,0.50286848297868,0.31,0.62,0.8868040399999999,100
2,0.5,0.9,456,0.50278325893373,0.31,0.63,0.88435167,100
2,0.5,0.9,789,0.5365322767187,0.29,0.65,0.8955401999999999,100
2,1.0,0.5,0,0.48387841374356,0.32,1.0,0.88436254,100
2,1.0,0.5,42,0.51369935327173,0.29,1.0,0.88602715,100
2,1.0,0.5,123,0.47639860934003,0.31,1.0,0.87154233,100
2,1.0,0.5,456,0.4849015073537,0.31,1.0,0.87446872,100
2,1.0,0.5,789,0.52003116972549,0.29,1.0,0.88629543,100
2,1.0,0.7,0,0.4994340198981,0.32,0.96,0.89473106,100
2,1.0,0.7,42,0.52727260080463,0.29,0.97,0.89446167,100
2,1.0,0.7,123,0.5184122170322,0.31,0.97,0.8993495199999999,100
2,1.0,0.7,456,0.5145324985809,0.31,0.96,0.89430846,100
2,1.0,0.7,789,0.5365472468181001,0.29,0.98,0.8980445,100
2,1.0,0.9,0,0.51010910941838,0.31,0.67,0.8944331200000001,100
2,1.0,0.9,42,0.5447628549881199,0.29,0.67,0.90334834,100
2,1.0,0.9,123,0.5297587196608899,0.29,0.66,0.89415499,100
2,1.0,0.9,456,0.52429662490382,0.29,0.66,0.88844174,100
2,1.0,0.9,789,0.54458669611835,0.28,0.66,0.89583035,100
2,2.0,0.5,0,0.48387841374356,0.32,1.0,0.88436254,100
2,2.0,0.5,42,0.51369935327173,0.29,1.0,0.88602715,100
2,2.0,0.5,123,0.47639860934003,0.31,1.0,0.87154233,100
2,2.0,0.5,456,0.4849015073537,0.31,1.0,0.87446872,100
2,2.0,0.5,789,0.52003116972549,0.29,1.0,0.88629543,100
2,2.0,0.7,0,0.4994340198981,0.32,0.96,0.89473106,100
2,2.0,0.7,42,0.52727260080463,0.29,0.97,0.89446167,100
2,2.0,0.7,123,0.5184122170322,0.31,0.97,0.8993495199999999,100
2,2.0,0.7,456,0.5145324985809,0.31,0.96,0.89430846,100
2,2.0,0.7,789,0.5365472468181001,0.29,0.98,0.8980445,100
2,2.0,0.9,0,0.51010910941838,0.31,0.67,0.8944331200000001,100
2,2.0,0.9,42,0.5447628549881199,0.29,0.67,0.90334834,100
2,2.0,0.9,123,0.5297587196608899,0.29,0.66,0.89415499,100
2,2.0,0.9,456,0.52429662490382,0.29,0.66,0.88844174,100
2,2.0,0.9,789,0.54458669611835,0.28,0.66,0.89583035,100
2,4.0,0.5,0,0.48387841374356,0.32,1.0,0.88436254,100
2,4.0,0.5,42,0.51369935327173,0.29,1.0,0.88602715,100
2,4.0,0.5,123,0.47639860934003,0.31,1.0,0.87154233,100
2,4.0,0.5,456,0.4849015073537,0.31,1.0,0.87446872,100
2,4.0,0.5,789,0.52003116972549,0.29,1.0,0.88629543,100
2,4.0,0.7,0,0.4994340198981,0.32,0.96,0.89473106,100
2,4.0,0.7,42,0.52727260080463,0.29,0.97,0.89446167,100
2,4.0,0.7,123,0.5184122170322,0.31,0.97,0.8993495199999999,100
2,4.0,0.7,456,0.5145324985809,0.31,0.96,0.89430846,100
2,4.0,0.7,789,0.5365472468181001,0.29,0.98,0.8980445,100
2,4.0,0.9,0,0.51010910941838,0.31,0.67,0.8944331200000001,100
2,4.0,0.9,42,0.5447628549881199,0.29,0.67,0.90334834,100
2,4.0,0.9,123,0.5297587196608899,0.29,0.66,0.89415499,100
2,4.0,0.9,456,0.52429662490382,0.29,0.66,0.88844174,100
2,4.0,0.9,789,0.54458669611835,0.28,0.66,0.89583035,100
