N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
2,0.5,0.9,789,0.6870999999999999,0.31,1.0,0.998,100
2,1.0,0.5,0,0.653175,0.34,1.0,0.9965,100
2,1.0,0.5,42,0.7141500000000001,0.28,1.0,0.997,100
2,1.0,0.5,123,0.6970999999999999,0.3,1.0,0.998,100
2,1.0,0.5,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,1.0,0.5,789,0.6870999999999999,0.31,1.0,0.998,100
2,1.0,0.7,0,0.653175,0.34,1.0,0.9965,100
2,1.0,0.7,42,0.7141500000000001,0.28,1.0,0.997,100
2,1.0,0.7,123,0.6970999999999999,0.3,1.0,0.998,100
2,1.0,0.7,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,1.0,0.7,789,0.6870999999999999,0.31,1.0,0.998,100
2,1.0,0.9,0,0.653175,0.34,1.0,0.9965,100
2,1.0,0.9,42,0.7141500000000001,0.28,1.0,0.997,100
2,1.0,0.9,123,0.6970999999999999,0.3,1.0,0.998,100
2,1.0,0.9,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,1.0,0.9,789,0.6870999999999999,0.31,1.0,0.998,100
2,2.0,0.5,0,0.653175,0.34,1.0,0.9965,100
2,2.0,0.5,42,0.7141500000000001,0.28,1.0,0.997,100
2,2.0,0.5,123,0.6970999999999999,0.3,1.0,0.998,100
2,2.0,0.5,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,2.0,0.5,789,0.6870999999999999,0.31,1.0,0.998,100
2,2.0,0.7,0,0.653175,0.34,1.0,0.9965,100
2,2.0,0.7,42,0.7141500000000001,0.28,1.0,0.997,100
2,2.0,0.7,123,0.6970999999999999,0.3,1.0,0.998,100
2,2.0,0.7,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,2.0,0.7,789,0.6870999999999999,0.31,1.0,0.998,100
2,2.0,0.9,0,0.653175,0.34,1.0,0.9965,100
2,2.0,0.9,42,0.7141500000000001,0.28,1.0,0.997,100
2,2.0,0.9,123,0.6970999999999999,0.3,1.0,0.998,100
2,2.0,0.9,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,2.0,0.9,789,0.6870999999999999,0.31,1.0,0.998,100
2,4.0,0.5,0,0.653175,0.34,1.0,0.9965,100
2,4.0,0.5,42,0.7141500000000001,0.28,1.0,0.997,100
2,4.0,0.5,123,0.6970999999999999,0.3,1.0,0.998,100
2,4.0,0.5,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,4.0,0.5,789,0.6870999999999999,0.31,1.0,0.998,100
2,4.0,0.7,0,0.653175,0.34,1.0,0.9965,100
2,4.0,0.7,42,0.7141500000000001,0.28,1.0,0.997,100
2,4.0,0.7,123,0.6970999999999999,0.3,1.0,0.998,100
2,4.0,0.7,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,4.0,0.7,789,0.6870999999999999,0.31,1.0,0.998,100
2,4.0,0.9,0,0.653175,0.34,1.0,0.9965,100
2,4.0,0.9,42,0.7141500000000001,0.28,1.0,0.997,100
2,4.0,0.9,123,0.6970999999999999,0.3,1.0,0.998,100
2,4.0,0.9,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,4.0,0.9,789,0.6870999999999999,0.31,1.0,0.998,100
4,0.0,0.5,0,0.6422,0.35,1.0,0.996,100
4,0.0,0.5,42,0.70415,0.29,1.0,0.997,100
4,0.0,0.5,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.0,0.5,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.0,0.5,789,0.6661,0.33,1.0,0.998,100
4,0.0,0.7,0,0.6422,0.35,1.0,0.996,100
4,0.0,0.7,42,0.70415,0.29,1.0,0.997,100
4,0.0,0.7,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.0,0.7,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.0,0.7,789,0.6661,0.33,1.0,0.998,100
4,0.0,0.9,0,0.6422,0.35,1.0,0.996,100
4,0.0,0.9,42,0.70415,0.29,1.0,0.997,100
4,0.0,0.9,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.0,0.9,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.0,0.9,789,0.6661,0.33,1.0,0.998,100
4,0.25,0.5,0,0.6422,0.35,1.0,0.996,100
4,0.25,0.5,42,0.70415,0.29,1.0,0.997,100
4,0.25,0.5,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.25,0.5,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.25,0.5,789,0.6661,0.33,1.0,0.998,100
4,0.25,0.7,0,0.6422,0.35,1.0,0.996,100
4,0.25,0.7,42,0.70415,0.29,1.0,0.997,100
4,0.25,0.7,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.25,0.7,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.25,0.7,789,0.6661,0.33,1.0,0.998,100
4,0.25,0.9,0,0.6422,0.35,1.0,0.996,100
4,0.25,0.9,42,0.70415,0.29,1.0,0.997,100
4,0.25,0.9,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.25,0.9,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.25,0.9,789,0.6661,0.33,1.0,0.998,100
4,0.5,0.5,0,0.6422,0.35,1.0,0.996,100
4,0.5,0.5,42,0.70415,0.29,1.0,0.997,100
4,0.5,0.5,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.5,0.5,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.5,0.5,789,0.6661,0.33,1.0,0.998,100
4,0.5,0.7,0,0.6422,0.35,1.0,0.996,100
4,0.5,0.7,42,0.70415,0.29,1.0,0.997,100
4,0.5,0.7,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.5,0.7,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.5,0.7,789,0.6661,0.33,1.0,0.998,100
4,0.5,0.9,0,0.6422,0.35,1.0,0.996,100
4,0.5,0.9,42,0.70415,0.29,1.0,0.997,100
4,0.5,0.9,123,0.682225,0.31,1.0,0.9954999999999999,100
4,0.5,0.9,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,0.5,0.9,789,0.6661,0.33,1.0,0.998,100
4,1.0,0.5,0,0.6422,0.35,1.0,0.996,100
4,1.0,0.5,42,0.70415,0.29,1.0,0.997,100
4,1.0,0.5,123,0.682225,0.31,1.0,0.9954999999999999,100
4,1.0,0.5,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,1.0,0.5,789,0.6661,0.33,1.0,0.998,100
4,1.0,0.7,0,0.6422,0.35,1.0,0.996,100
4,1.0,0.7,42,0.70415,0.29,1.0,0.997,100
4,1.0,0.7,123,0.682225,0.31,1.0,0.9954999999999999,100
4,1.0,0.7,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,1.0,0.7,789,0.6661,0.33,1.0,0.998,100
4,1.0,0.9,0,0.6422,0.35,1.0,0.996,100
4,1.0,0.9,42,0.70415,0.29,1.0,0.997,100
4,1.0,0.9,123,0.682225,0.31,1.0,0.9954999999999999,100
4,1.0,0.9,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,1.0,0.9,789,0.6661,0.33,1.0,0.998,100
4,2.0,0.5,0,0.6422,0.35,1.0,0.996,100
4,2.0,0.5,42,0.70415,0.29,1.0,0.997,100
4,2.0,0.5,123,0.682225,0.31,1.0,0.9954999999999999,100
4,2.0,0.5,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,2.0,0.5,789,0.6661,0.33,1.0,0.998,100
4,2.0,0.7,0,0.6422,0.35,1.0,0.996,100
4,2.0,0.7,42,0.70415,0.29,1.0,0.997,100
4,2.0,0.7,123,0.682225,0.31,1.0,0.9954999999999999,100
4,2.0,0.7,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,2.0,0.7,789,0.6661,0.33,1.0,0.998,100
4,2.0,0.9,0,0.6422,0.35,1.0,0.996,100
4,2.0,0.9,42,0.70415,0.29,1.0,0.997,100
4,2.0,0.9,123,0.682225,0.31,1.0,0.9954999999999999,100
4,2.0,0.9,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,2.0,0.9,789,0.6661,0.33,1.0,0.998,100
4,4.0,0.5,0,0.6422,0.35,1.0,0.996,100
4,4.0,0.5,42,0.70415,0.29,1.0,0.997,100
4,4.0,0.5,123,0.682225,0.31,1.0,0.9954999999999999,100
4,4.0,0.5,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,4.0,0.5,789,0.6661,0.33,1.0,0.998,100
4,4.0,0.7,0,0.6422,0.35,1.0,0.996,100
4,4.0,0.7,42,0.70415,0.29,1.0,0.997,100
4,4.0,0.7,123,0.682225,0.31,1.0,0.9954999999999999,100
4,4.0,0.7,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,4.0,0.7,789,0.6661,0.33,1.0,0.998,100
4,4.0,0.9,0,0.6422,0.35,1.0,0.996,100
4,4.0,0.9,42,0.70415,0.29,1.0,0.997,100
4,4.0,0.9,123,0.682225,0.31,1.0,0.9954999999999999,100
4,4.0,0.9,456,0.6712250000000001,0.32,1.0,0.9954999999999999,100
4,4.0,0.9,789,0.6661,0.33,1.0,0.998,100
8,0.0,0.5,0,0.6322,0.36,1.0,0.996,100
8,0.0,0.5,42,0.65415,0.34,1.0,0.997,100
8,0.0,0.5,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.0,0.5,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.0,0.5,789,0.6561,0.34,1.0,0.998,100
8,0.0,0.7,0,0.6322,0.36,1.0,0.996,100
8,0.0,0.7,42,0.65415,0.34,1.0,0.997,100
8,0.0,0.7,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.0,0.7,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.0,0.7,789,0.6561,0.34,1.0,0.998,100
8,0.0,0.9,0,0.6322,0.36,1.0,0.996,100
8,0.0,0.9,42,0.65415,0.34,1.0,0.997,100
8,0.0,0.9,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.0,0.9,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.0,0.9,789,0.6561,0.34,1.0,0.998,100
8,0.25,0.5,0,0.6322,0.36,1.0,0.996,100
8,0.25,0.5,42,0.65415,0.34,1.0,0.997,100
8,0.25,0.5,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.25,0.5,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.25,0.5,789,0.6561,0.34,1.0,0.998,100
8,0.25,0.7,0,0.6322,0.36,1.0,0.996,100
8,0.25,0.7,42,0.65415,0.34,1.0,0.997,100
8,0.25,0.7,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.25,0.7,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.25,0.7,789,0.6561,0.34,1.0,0.998,100
8,0.25,0.9,0,0.6322,0.36,1.0,0.996,100
8,0.25,0.9,42,0.65415,0.34,1.0,0.997,100
8,0.25,0.9,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.25,0.9,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.25,0.9,789,0.6561,0.34,1.0,0.998,100
8,0.5,0.5,0,0.6322,0.36,1.0,0.996,100
8,0.5,0.5,42,0.65415,0.34,1.0,0.997,100
8,0.5,0.5,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.5,0.5,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.5,0.5,789,0.6561,0.34,1.0,0.998,100
8,0.5,0.7,0,0.6322,0.36,1.0,0.996,100
8,0.5,0.7,42,0.65415,0.34,1.0,0.997,100
8,0.5,0.7,123,0.6712250000000001,0.32,1.0,0.9954999999999999,100
8,0.5,0.7,456,0.6612250000000001,0.33,1.0,0.9954999999999999,100
8,0.5,0.7,789,0.6561,0.34,1.0,0.998,100
